Cliente,Empréstimo,ValorDoBem,TempoEmprego,Negativos,Atrasos,TempoCliente,LC-Recente,LC-Atual,RDS,Risco_Atrasos,Historico_Risco,Alavancagem,Finalidade_Reforma,Emprego_Comissionado,Emprego_Geral,Emprego_Gerente,Emprego_Outros,Emprego_Professional
,19468.0,309447.0,0.5,0.0,1.0,185.6,0.0,33.0,39.2,0.0,185.5998144001856,0.0629122270924836,True,False,False,False,True,False
,91688.0,449020.0,15.25,0.0,0.0,234.5,1.0,41.0,,0.0,234500000.0,0.20419580374104537,False,False,False,False,True,False
,34226.0,164394.7,1.25,0.0,0.0,250.5,0.0,10.0,37.2,0.0,250500000.0,0.20819405851773776,True,False,False,False,True,False
,48356.0,270592.64,2.25,1.0,0.0,230.4,3.0,26.0,29.0,0.0,230400000.00000003,0.17870404687021774,False,False,False,False,True,False
,64684.0,78167.16,3.75,0.0,0.0,93.6,0.0,18.0,21.0,0.0,93600000.0,0.8275086260328681,False,False,False,False,False,True
,38622.0,333175.98000000004,19.5,0.0,0.0,121.9,3.0,24.0,26.8,0.0,121900000.00000001,0.11592072118788178,True,False,False,False,True,False
,31400.0,227392.52,14.75,0.0,0.0,209.7,3.0,29.0,37.9,0.0,209700000.0,0.13808721527828965,False,False,False,False,False,True
,35168.0,148270.80000000002,8.75,,1.0,152.9,5.0,30.0,37.0,,152.89984710015293,0.2371876307594777,False,False,False,False,True,False
,39564.0,118949.48,9.3,0.0,0.0,88.9,2.0,12.0,,0.0,88900000.00000001,0.3326117917235805,True,False,False,False,True,False
,49612.0,348976.46,3.75,0.0,1.0,254.6,1.0,35.0,25.7,0.0,254.59974540025462,0.14216431634911902,False,False,True,False,False,False
,88862.0,753568.6,27.5,0.0,0.0,360.2,0.0,19.0,36.3,0.0,360200000.0,0.11792157990935187,True,False,False,False,False,True
,48042.0,323617.82,18.75,0.0,0.0,129.4,3.0,25.0,30.2,0.0,129400000.00000001,0.14845288758062555,True,False,False,False,True,False
,56520.0,188400.0,10.5,2.0,0.0,114.0,5.0,5.0,,0.0,114000000.0,0.29999999840764335,False,False,False,False,True,False
,42704.0,348178.9,12.0,0.0,0.0,204.0,3.0,16.0,39.7,0.0,204000000.0,0.12264959156729603,False,False,False,False,True,False
,53380.0,501677.8000000001,,0.0,0.0,231.4,0.0,18.0,38.0,0.0,231400000.00000003,0.10640295403463546,False,False,False,True,False,False
,22294.0,565526.56,8.0,0.0,0.0,224.2,0.0,18.0,31.7,0.0,224200000.0,0.03942166741130307,False,False,False,False,True,False
,61230.0,434497.5,12.5,0.0,2.0,220.3,0.0,26.0,,0.0,110.14994492502754,0.14092140888976024,False,False,True,False,False,False
,21038.0,182383.76,21.5,0.0,0.0,195.4,0.0,19.0,19.5,0.0,195400000.0,0.11535018186185995,True,False,True,False,False,False
,48984.0,290271.02,6.0,0.0,0.0,129.7,0.0,13.0,26.5,0.0,129700000.0,0.16875263617858705,True,False,False,False,False,True
,47728.0,359592.8,3.25,0.0,0.0,139.6,0.0,20.0,34.4,0.0,139600000.0,0.13272790741992635,True,False,True,False,False,False
,70964.0,830410.68,5.0,0.0,0.0,247.0,2.0,51.0,38.7,0.0,247000000.0,0.08545651160765837,True,False,False,False,False,False
,22922.0,620150.0,2.0,0.0,0.0,70.4,2.0,21.0,,0.0,70400000.00000001,0.03696202525685394,False,False,False,False,False,True
,61858.0,418329.64,9.25,0.0,0.0,343.4,1.0,9.0,40.1,0.0,343400000.0,0.1478690342193562,False,False,False,False,True,False
